DEBUG   |170521 02:20:56|-- Loading filter Multidb
DEBUG   |170521 02:20:56|-- Loading filter Regextables
DEBUG   |170521 02:20:56|-- Loading filter Tabledata
DEBUG   |170521 02:20:56|-- Loading filter Skipdirs
DEBUG   |170521 02:20:56|-- Loading filter Tables
DEBUG   |170521 02:20:56|-- Loading filter Extradirs
DEBUG   |170521 02:20:56|-- Loading filter Skipfiles
DEBUG   |170521 02:20:56|-- Loading filter Directories
DEBUG   |170521 02:20:56|-- Loading filter Files
DEBUG   |170521 02:20:56|-- Loading filter Regexskipdirs
DEBUG   |170521 02:20:56|-- Loading filter Excludefiles
DEBUG   |170521 02:20:56|-- Loading filter Excludetabledata
DEBUG   |170521 02:20:56|-- Loading filter Cvsfolders
DEBUG   |170521 02:20:56|-- Loading filter Joomlaskipfiles
DEBUG   |170521 02:20:56|-- Loading filter Siteroot
DEBUG   |170521 02:20:56|-- Loading filter Excludefolders
DEBUG   |170521 02:20:56|-- Loading filter Libraries
DEBUG   |170521 02:20:56|-- Loading filter Sitedb
DEBUG   |170521 02:20:56|-- Loading filter Systemcachefiles
DEBUG   |170521 02:20:56|-- Loading filter Joomlaskipdirs
DEBUG   |170521 02:20:56|Loading optional filters
DEBUG   |170521 02:20:56|-- Loading optional filter Stack\StackErrorlogs
DEBUG   |170521 02:20:56|-- Loading optional filter Stack\StackHoststats
DEBUG   |170521 02:20:56|-- Loading optional filter Stack\StackFinder
DEBUG   |170521 02:20:56|-- Loading optional filter Stack\StackMyjoomla
DEBUG   |170521 02:23:15| -- Resetting Akeeba Engine factory (backend.id30)
DEBUG   |170521 02:23:15|Fetching filter data from database
DEBUG   |170521 02:23:15|Loading filters
DEBUG   |170521 02:23:15|-- Loading filter Regextabledata
DEBUG   |170521 02:23:15|-- Loading filter Regexdirectories
DEBUG   |170521 02:23:15|-- Loading filter Regexskipfiles
DEBUG   |170521 02:23:15|-- Loading filter Incremental
DEBUG   |170521 02:23:15|-- Loading filter Regexfiles
DEBUG   |170521 02:23:15|-- Loading filter Multidb
DEBUG   |170521 02:23:15|-- Loading filter Regextables
DEBUG   |170521 02:23:15|-- Loading filter Tabledata
DEBUG   |170521 02:23:15|-- Loading filter Skipdirs
DEBUG   |170521 02:23:15|-- Loading filter Tables
DEBUG   |170521 02:23:15|-- Loading filter Extradirs
DEBUG   |170521 02:23:15|-- Loading filter Skipfiles
DEBUG   |170521 02:23:15|-- Loading filter Directories
DEBUG   |170521 02:23:15|-- Loading filter Files
DEBUG   |170521 02:23:15|-- Loading filter Regexskipdirs
DEBUG   |170521 02:23:15|-- Loading filter Excludefiles
DEBUG   |170521 02:23:15|-- Loading filter Excludetabledata
DEBUG   |170521 02:23:15|-- Loading filter Cvsfolders
DEBUG   |170521 02:23:15|-- Loading filter Joomlaskipfiles
DEBUG   |170521 02:23:15|-- Loading filter Siteroot
DEBUG   |170521 02:23:15|-- Loading filter Excludefolders
DEBUG   |170521 02:23:15|-- Loading filter Libraries
DEBUG   |170521 02:23:15|-- Loading filter Sitedb
DEBUG   |170521 02:23:15|-- Loading filter Systemcachefiles
DEBUG   |170521 02:23:15|-- Loading filter Joomlaskipdirs
DEBUG   |170521 02:23:15|Loading optional filters
DEBUG   |170521 02:23:15|-- Loading optional filter Stack\StackErrorlogs
DEBUG   |170521 02:23:15|-- Loading optional filter Stack\StackHoststats
DEBUG   |170521 02:23:15|-- Loading optional filter Stack\StackFinder
DEBUG   |170521 02:23:15|-- Loading optional filter Stack\StackMyjoomla
DEBUG   |170529 19:45:31| -- Resetting Akeeba Engine factory (backend.id31)
DEBUG   |170529 19:45:31|Fetching filter data from database
DEBUG   |170529 19:45:31|Loading filters
DEBUG   |170529 19:45:31|-- Loading filter Regextabledata
DEBUG   |170529 19:45:31|-- Loading filter Regexdirectories
DEBUG   |170529 19:45:31|-- Loading filter Regexskipfiles
DEBUG   |170529 19:45:31|-- Loading filter Incremental
DEBUG   |170529 19:45:31|-- Loading filter Regexfiles
DEBUG   |170529 19:45:31|-- Loading filter Multidb
DEBUG   |170529 19:45:31|-- Loading filter Regextables
DEBUG   |170529 19:45:31|-- Loading filter Tabledata
DEBUG   |170529 19:45:31|-- Loading filter Skipdirs
DEBUG   |170529 19:45:31|-- Loading filter Tables
DEBUG   |170529 19:45:31|-- Loading filter Extradirs
DEBUG   |170529 19:45:31|-- Loading filter Skipfiles
DEBUG   |170529 19:45:31|-- Loading filter Directories
DEBUG   |170529 19:45:31|-- Loading filter Files
DEBUG   |170529 19:45:31|-- Loading filter Regexskipdirs
DEBUG   |170529 19:45:31|-- Loading filter Excludefiles
DEBUG   |170529 19:45:31|-- Loading filter Excludetabledata
DEBUG   |170529 19:45:31|-- Loading filter Cvsfolders
DEBUG   |170529 19:45:31|-- Loading filter Joomlaskipfiles
DEBUG   |170529 19:45:31|-- Loading filter Siteroot
DEBUG   |170529 19:45:31|-- Loading filter Excludefolders
DEBUG   |170529 19:45:31|-- Loading filter Libraries
DEBUG   |170529 19:45:31|-- Loading filter Sitedb
DEBUG   |170529 19:45:31|-- Loading filter Systemcachefiles
DEBUG   |170529 19:45:31|-- Loading filter Joomlaskipdirs
DEBUG   |170529 19:45:31|Loading optional filters
DEBUG   |170529 19:45:31|-- Loading optional filter Stack\StackErrorlogs
DEBUG   |170529 19:45:31|-- Loading optional filter Stack\StackHoststats
DEBUG   |170529 19:45:31|-- Loading optional filter Stack\StackFinder
DEBUG   |170529 19:45:31|-- Loading optional filter Stack\StackMyjoomla
DEBUG   |171106 15:01:22| -- Resetting Akeeba Engine factory (backend.id32)
DEBUG   |171106 15:01:22|Fetching filter data from database
DEBUG   |171106 15:01:22|Loading filters
DEBUG   |171106 15:01:22|-- Loading filter Regextabledata
DEBUG   |171106 15:01:22|-- Loading filter Regexdirectories
DEBUG   |171106 15:01:22|-- Loading filter Regexskipfiles
DEBUG   |171106 15:01:22|-- Loading filter Incremental
DEBUG   |171106 15:01:22|-- Loading filter Regexfiles
DEBUG   |171106 15:01:22|-- Loading filter Multidb
DEBUG   |171106 15:01:22|-- Loading filter Regextables
DEBUG   |171106 15:01:22|-- Loading filter Tabledata
DEBUG   |171106 15:01:22|-- Loading filter Skipdirs
DEBUG   |171106 15:01:22|-- Loading filter Tables
DEBUG   |171106 15:01:22|-- Loading filter Extradirs
DEBUG   |171106 15:01:22|-- Loading filter Skipfiles
DEBUG   |171106 15:01:22|-- Loading filter Directories
DEBUG   |171106 15:01:22|-- Loading filter Files
DEBUG   |171106 15:01:22|-- Loading filter Regexskipdirs
DEBUG   |171106 15:01:22|-- Loading filter Excludefiles
DEBUG   |171106 15:01:22|-- Loading filter Excludetabledata
DEBUG   |171106 15:01:22|-- Loading filter Cvsfolders
